name,state,year,se,jobs,se_jobs,rd,gdp,rd_gdp
Nevada,NV,2008,27300,1278230,2.14,913,129372,0.71
Nevada,NV,2009,27560,1179860,2.34,842,121110,0.7
Nevada,NV,2010,26840,1113530,2.41,940,123598,0.76
Nevada,NV,2011,28370,1112780,2.55,889,126657,0.7
Nevada,NV,2012,27000,1127160,2.4,845,128043,0.66
Nevada,NV,2013,26850,1151970,2.33,761,130621,0.58
Nevada,NV,2014,26890,1189610,2.26,817,135153,0.6
Nevada,NV,2015,28200,1232800,2.29,566,144232,0.39
Nevada,NV,2016,29460,1270930,2.32,789,151215,0.52
Nevada,NV,2017,31520,1310220,2.41,846,158848,0.53
New Hampshire,NH,2008,29150,634570,4.59,2496,60919,4.1
New Hampshire,NH,2009,30550,619390,4.93,1210,61937,1.95
New Hampshire,NH,2010,29200,603420,4.84,2159,64152,3.37
New Hampshire,NH,2011,29260,606690,4.82,2471,65431,3.78
New Hampshire,NH,2012,28950,612710,4.72,2345,67689,3.46
New Hampshire,NH,2013,28460,620190,4.59,2426,70182,3.46
New Hampshire,NH,2014,28320,627000,4.52,2424,72340,3.35
New Hampshire,NH,2015,29290,635360,4.61,2333,76033,3.07
New Hampshire,NH,2016,30400,645050,4.71,2344,78478,2.99
New Hampshire,NH,2017,32170,649950,4.95,1845,80900,2.28
New Jersey,NJ,2008,198060,3986310,4.97,20713,495122,4.18
New Jersey,NJ,2009,195690,3850770,5.08,20222,486513,4.16
New Jersey,NJ,2010,185360,3770550,4.92,17880,495149,3.61
New Jersey,NJ,2011,182210,3771250,4.83,15705,499115,3.15
New Jersey,NJ,2012,181480,3793720,4.78,17630,519746,3.39
New Jersey,NJ,2013,184720,3821070,4.83,15877,533687,2.97
New Jersey,NJ,2014,188240,3869260,4.87,15370,546687,2.81
New Jersey,NJ,2015,193440,3906800,4.95,15865,569680,2.78
New Jersey,NJ,2016,204000,3955350,5.16,17564,582428,3.02
New Jersey,NJ,2017,203270,4007470,5.07,18495,595325,3.11
New Mexico,NM,2008,34560,819480,4.22,5906,83724,7.05
New Mexico,NM,2009,36950,800390,4.62,5817,82017,7.09
New Mexico,NM,2010,36130,777560,4.65,6225,83989,7.41
New Mexico,NM,2011,35520,777640,4.57,6070,86625,7.01
New Mexico,NM,2012,35310,773860,4.56,5905,87602,6.74
New Mexico,NM,2013,34900,783980,4.45,5803,88411,6.56
New Mexico,NM,2014,36180,788000,4.59,5816,92481,6.29
New Mexico,NM,2015,37510,798150,4.7,6078,90969,6.68
New Mexico,NM,2016,38420,805440,4.77,6306,91044,6.93
New Mexico,NM,2017,37020,801080,4.62,6595,94267,7
New York,NY,2008,326510,8633580,3.78,16486,1099234,1.5
New York,NY,2009,315480,8487020,3.72,16491,1152812,1.43
New York,NY,2010,0,8344020,0,17243,1213947,1.42
New York,NY,2011,310510,8427560,3.68,18566,1236061,1.5
New York,NY,2012,321480,8542280,3.76,18249,1322448,1.38
New York,NY,2013,333710,8635400,3.86,18619,1355581,1.37
