id,nobelwinners,category,year,sex
240,American Friends Service Committee,peace,1947,M
241,Patrick Blackett,physics,1948,M
242,Arne Tiselius,chemistry,1948,M
243,Paul Hermann Müller,physiology or medicine,1948,M
244,T. S. Eliot,literature,1948,M
245,Hideki Yukawa,physics,1949,M
246,William Giauque,chemistry,1949,M
247,Walter Rudolf Hess,physiology or medicine,1949,M
248,António Egas Moniz,physiology or medicine,1949,M
249,William Faulkner,literature,1949,M
250,John Boyd Orr,peace,1949,M
251,C. F. Powell,physics,1950,M
252,Otto Diels,chemistry,1950,M
253,Kurt Alder,chemistry,1950,M
254,Philip Showalter Hench,physiology or medicine,1950,M
255,Edward Calvin Kendall,physiology or medicine,1950,M
256,Tadeus Reichstein,physiology or medicine,1950,M
257,Bertrand Russell,literature,1950,M
258,Ralph Bunche,peace,1950,M
259,John Cockcroft,physics,1951,M
260,Ernest Walton,physics,1951,M
261,Edwin McMillan,chemistry,1951,M
262,Glenn T. Seaborg,chemistry,1951,M
263,Max Theiler,physiology or medicine,1951,M
264,Pär Lagerkvist,literature,1951,M
265,Léon Jouhaux,peace,1951,M
266,Felix Bloch,physics,1952,M
267,Edward Mills Purcell,physics,1952,M
268,Archer John Porter Martin,chemistry,1952,M
269,Richard Laurence Millington Synge,chemistry,1952,M
270,Selman Waksman,physiology or medicine,1952,M
271,François Mauriac,literature,1952,M
272,Albert Schweitzer,peace,1952,M
273,Frits Zernike,physics,1953,M
274,Hermann Staudinger,chemistry,1953,M
275,Hans Adolf Krebs,physiology or medicine,1953,M
276,Fritz Albert Lipmann,physiology or medicine,1953,M
277,Winston Churchill,literature,1953,M
278,George Marshall,peace,1953,M
279,Max Born,physics,1954,M
280,Walther Bothe,physics,1954,M
281,Linus Pauling,chemistry,1954,M
282,John Franklin Enders,physiology or medicine,1954,M
283,Frederick Chapman Robbins,physiology or medicine,1954,M
284,Thomas Huckle Weller,physiology or medicine,1954,M
285,Ernest Hemingway,literature,1954,M
286,United Nations High Commissioner for Refugees,peace,1954,M
287,Willis Lamb,physics,1955,M
288,Polykarp Kusch,physics,1955,M
289,Vincent du Vigneaud,chemistry,1955,M
290,Hugo Theorell,physiology or medicine,1955,M
291,Halldór Laxness,literature,1955,M
292,John Bardeen,physics,1956,M
293,Walter Houser Brattain,physics,1956,M
294,William Shockley,physics,1956,M
295,Cyril Norman Hinshelwood,chemistry,1956,M
296,Nikolay Semyonov,chemistry,1956,M
297,André Frédéric Cournand,physiology or medicine,1956,M
298,Werner Forssmann,physiology or medicine,1956,M
299,Dickinson W. Richards,physiology or medicine,1956,M
300,Juan Ramón Jiménez,literature,1956,M
301,Chen Ning Yang,physics,1957,M
302,Tsung-Dao Lee,physics,1957,M
303,Lord Todd,chemistry,1957,M
